timestamp,date,time,open,high,low,close,volume
2022-08-09 14:00:00,2022-08-09,14:00,40800,40840,39670,40135,451886500
2022-08-09 15:00:00,2022-08-09,15:00,40135,40430,40000,40110,94310900
2022-08-09 16:00:00,2022-08-09,16:00,40110,40340,40000,40225,85989400
2022-08-09 17:00:00,2022-08-09,17:00,40225,40470,40080,40300,109312600
2022-08-09 18:00:00,2022-08-09,18:00,40300,40330,39885,40080,119966200
2022-08-09 19:00:00,2022-08-09,19:00,40080,40225,39935,40055,49694600
2022-08-09 20:00:00,2022-08-09,20:00,40055,40375,40025,40265,51412400
2022-08-09 21:00:00,2022-08-09,21:00,40265,40590,40240,40545,64438000
2022-08-09 22:00:00,2022-08-09,22:00,40545,40715,40130,40350,149181900
2022-08-09 23:00:00,2022-08-09,23:00,40350,40555,40265,40310,68467000
2022-08-10 00:00:00,2022-08-10,00:00,40310,40325,38965,39570,572635800
2022-08-10 01:00:00,2022-08-10,01:00,39570,39935,39550,39600,208904900
2022-08-10 02:00:00,2022-08-10,02:00,39600,39730,39135,39420,161148500
2022-08-10 03:00:00,2022-08-10,03:00,39420,39550,39235,39255,100591300
2022-08-10 04:00:00,2022-08-10,04:00,39255,39595,39245,39545,63559500
2022-08-10 05:00:00,2022-08-10,05:00,39545,39660,39435,39490,57083200
2022-08-10 06:00:00,2022-08-10,06:00,39490,39565,39095,39465,123995800
2022-08-10 07:00:00,2022-08-10,07:00,39465,39790,39415,39650,97062000
2022-08-10 08:00:00,2022-08-10,08:00,39650,40005,39640,39965,103522600
2022-08-10 09:00:00,2022-08-10,09:00,39965,40025,39700,39775,82797800
2022-08-10 10:00:00,2022-08-10,10:00,39775,39835,39620,39710,77475200
2022-08-10 11:00:00,2022-08-10,11:00,39710,40165,39655,40025,134449700
2022-08-10 12:00:00,2022-08-10,12:00,40025,42265,39805,42105,1337155000
2022-08-10 13:00:00,2022-08-10,13:00,42105,42450,41610,42035,499824200
2022-08-10 14:00:00,2022-08-10,14:00,42035,42370,41790,42220,196298300
2022-08-10 15:00:00,2022-08-10,15:00,42220,42380,41935,42045,174285300
2022-08-10 16:00:00,2022-08-10,16:00,42045,42425,41775,41930,250551300
2022-08-10 17:00:00,2022-08-10,17:00,41930,42060,41635,41965,162577500
2022-08-10 18:00:00,2022-08-10,18:00,41965,42030,41235,41335,262130300
2022-08-10 19:00:00,2022-08-10,19:00,41335,41610,41155,41285,148293200
2022-08-10 20:00:00,2022-08-10,20:00,41285,42205,41285,42155,167538800
2022-08-10 21:00:00,2022-08-10,21:00,42155,42915,41990,42305,258727000
2022-08-10 22:00:00,2022-08-10,22:00,42305,42435,41935,41940,123718300
2022-08-10 23:00:00,2022-08-10,23:00,41940,42590,41910,42450,185046600
2022-08-11 00:00:00,2022-08-11,00:00,42450,42880,42310,42830,195523800
