
2022-05-12  00.42.08    BenchmarkSAR    bin = 1    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

147420 loaded. (6 days)
0.005000 / 0.005000 / 0.170000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0790 	 p = 0.10 	 avg = 0.00 	 % = 1.2101 / +14.0072
0.005000 / 0.005000 / 0.180000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0790 	 p = 0.10 	 avg = 0.00 	 % = 1.2101 / +14.0072
0.005000 / 0.005000 / 0.190000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0790 	 p = 0.10 	 avg = 0.00 	 % = 1.2101 / +14.0072
0.006000 / 0.006000 / 0.020000 	 t = 0.0000 / 0.0150 	 c = 182 / 72 / 110 / 0.6545 	 h = -0.0151 / 0.1045 	 p = 0.00 	 avg = 0.00 	 % = 1.0362 / +2.4135
0.006000 / 0.006000 / 0.030000 	 t = 0.0000 / 0.0150 	 c = 223 / 96 / 127 / 0.7559 	 h = -0.0152 / 0.1234 	 p = 0.08 	 avg = 0.00 	 % = 1.1945 / +12.9648
0.006000 / 0.006000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 247 / 118 / 129 / 0.9147 	 h = -0.0152 / 0.1331 	 p = 0.13 	 avg = 0.00 	 % = 1.2558 / +17.0566
0.006000 / 0.006000 / 0.050000 	 t = 0.0000 / 0.0150 	 c = 265 / 121 / 144 / 0.8403 	 h = -0.0152 / 0.1126 	 p = 0.03 	 avg = 0.00 	 % = 1.0818 / +5.4549
0.006000 / 0.006000 / 0.060000 	 t = 0.0000 / 0.0150 	 c = 277 / 125 / 152 / 0.8224 	 h = -0.0152 / 0.1203 	 p = 0.07 	 avg = 0.00 	 % = 1.1408 / +9.3873
0.006000 / 0.006000 / 0.070000 	 t = 0.0000 / 0.0150 	 c = 281 / 129 / 152 / 0.8487 	 h = -0.0152 / 0.1241 	 p = 0.04 	 avg = 0.00 	 % = 1.1204 / +8.0281
0.006000 / 0.006000 / 0.080000 	 t = 0.0000 / 0.0150 	 c = 283 / 129 / 154 / 0.8377 	 h = -0.0151 / 0.1236 	 p = 0.01 	 avg = 0.00 	 % = 1.0574 / +3.8296
0.006000 / 0.006000 / 0.110000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.00 	 avg = 0.00 	 % = 1.0306 / +2.0424
0.006000 / 0.006000 / 0.120000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.01 	 avg = 0.00 	 % = 1.0341 / +2.2709
0.006000 / 0.006000 / 0.130000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.01 	 avg = 0.00 	 % = 1.0347 / +2.3129
0.006000 / 0.006000 / 0.140000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.01 	 avg = 0.00 	 % = 1.0347 / +2.3129
0.006000 / 0.006000 / 0.150000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.01 	 avg = 0.00 	 % = 1.0347 / +2.3129
0.006000 / 0.006000 / 0.160000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.01 	 avg = 0.00 	 % = 1.0347 / +2.3129
0.006000 / 0.006000 / 0.170000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.01 	 avg = 0.00 	 % = 1.0347 / +2.3129
0.006000 / 0.006000 / 0.180000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.01 	 avg = 0.00 	 % = 1.0347 / +2.3129
0.006000 / 0.006000 / 0.190000 	 t = 0.0000 / 0.0150 	 c = 287 / 132 / 155 / 0.8516 	 h = -0.0152 / 0.0650 	 p = 0.01 	 avg = 0.00 	 % = 1.0347 / +2.3129
0.007000 / 0.007000 / 0.030000 	 t = 0.0000 / 0.0150 	 c = 241 / 101 / 140 / 0.7214 	 h = -0.0152 / 0.1241 	 p = 0.04 	 avg = 0.00 	 % = 1.1222 / +8.1454
0.007000 / 0.007000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 259 / 122 / 137 / 0.8905 	 h = -0.0152 / 0.1122 	 p = 0.12 	 avg = 0.00 	 % = 1.2527 / +16.8456
0.007000 / 0.007000 / 0.050000 	 t = 0.0000 / 0.0150 	 c = 281 / 133 / 148 / 0.8986 	 h = -0.0152 / 0.1127 	 p = 0.11 	 avg = 0.00 	 % = 1.2375 / +15.8358
0.007000 / 0.007000 / 0.060000 	 t = 0.0000 / 0.0150 	 c = 296 / 134 / 162 / 0.8272 	 h = -0.0152 / 0.1214 	 p = 0.10 	 avg = 0.00 	 % = 1.2293 / +15.2845
0.007000 / 0.007000 / 0.070000 	 t = 0.0000 / 0.0150 	 c = 306 / 139 / 167 / 0.8323 	 h = -0.0151 / 0.1250 	 p = 0.08 	 avg = 0.00 	 % = 1.2002 / +13.3459
0.007000 / 0.007000 / 0.080000 	 t = 0.0000 / 0.0150 	 c = 309 / 137 / 172 / 0.7965 	 h = -0.0152 / 0.1256 	 p = 0.02 	 avg = 0.00 	 % = 1.0622 / +4.1494
0.007000 / 0.007000 / 0.110000 	 t = 0.0000 / 0.0150 	 c = 321 / 142 / 179 / 0.7933 	 h = -0.0152 / 0.0674 	 p = 0.02 	 avg = 0.00 	 % = 1.0821 / +5.4729
0.007000 / 0.007000 / 0.120000 	 t = 0.0000 / 0.0150 	 c = 323 / 141 / 182 / 0.7747 	 h = -0.0152 / 0.0691 	 p = 0.02 	 avg = 0.00 	 % = 1.0755 / +5.0321
0.007000 / 0.007000 / 0.130000 	 t = 0.0000 / 0.0150 	 c = 323 / 141 / 182 / 0.7747 	 h = -0.0152 / 0.0691 	 p = 0.02 	 avg = 0.00 	 % = 1.0778 / +5.1850
0.007000 / 0.007000 / 0.140000 	 t = 0.0000 / 0.0150 	 c = 323 / 141 / 182 / 0.7747 	 h = -0.0152 / 0.0691 	 p = 0.02 	 avg = 0.00 	 % = 1.0785 / +5.2303
0.007000 / 0.007000 / 0.150000 	 t = 0.0000 / 0.0150 	 c = 323 / 141 / 182 / 0.7747 	 h = -0.0152 / 0.0691 	 p = 0.02 	 avg = 0.00 	 % = 1.0788 / +5.2529
0.007000 / 0.007000 / 0.160000 	 t = 0.0000 / 0.0150 	 c = 323 / 141 / 182 / 0.7747 	 h = -0.0152 / 0.0691 	 p = 0.02 	 avg = 0.00 	 % = 1.0788 / +5.2529
0.007000 / 0.007000 / 0.170000 	 t = 0.0000 / 0.0150 	 c = 323 / 141 / 182 / 0.7747 	 h = -0.0152 / 0.0691 	 p = 0.02 	 avg = 0.00 	 % = 1.0788 / +5.2529
0.007000 / 0.007000 / 0.180000 	 t = 0.0000 / 0.0150 	 c = 323 / 141 / 182 / 0.7747 	 h = -0.0152 / 0.0691 	 p = 0.02 	 avg = 0.00 	 % = 1.0788 / +5.2529
