
2022-05-10  01.38.21    SMA2    bin = 5    fee = 0.0003 - 0.003    2022-05-04 ~  (5) days

1602 loaded. (5 days)
    "stopX": 0.0449999943,
    "tryCount": 13.0,
    "succeedCount": 3.0,
    "failedCount": 10.0,
    "finalPercent": 1.00374
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 54.0,
    "smaLength2": 27.0,
    "stopX": 0.0249999985,
    "tryCount": 30.0,
    "succeedCount": 16.0,
    "failedCount": 14.0,
    "finalPercent": 1.00399089
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 96.0,
    "smaLength2": 42.0,
    "stopX": 0.015,
    "tryCount": 16.0,
    "succeedCount": 7.0,
    "failedCount": 9.0,
    "finalPercent": 1.00454676
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 30.0,
    "stopX": 0.0299999975,
    "tryCount": 17.0,
    "succeedCount": 6.0,
    "failedCount": 11.0,
    "finalPercent": 1.00464141
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 54.0,
    "smaLength2": 18.0,
    "stopX": 0.0249999985,
    "tryCount": 30.0,
    "succeedCount": 19.0,
    "failedCount": 11.0,
    "finalPercent": 1.00466871
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 96.0,
    "smaLength2": 48.0,
    "stopX": 0.0349999964,
    "tryCount": 13.0,
    "succeedCount": 5.0,
    "failedCount": 8.0,
    "finalPercent": 1.00518024
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 54.0,
    "smaLength2": 18.0,
    "stopX": 0.0299999975,
    "tryCount": 30.0,
    "succeedCount": 19.0,
    "failedCount": 11.0,
    "finalPercent": 1.00518978
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 102.0,
    "smaLength2": 51.0,
    "stopX": 0.0349999964,
    "tryCount": 13.0,
    "succeedCount": 6.0,
    "failedCount": 7.0,
    "finalPercent": 1.0053755
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 66.0,
    "smaLength2": 33.0,
    "stopX": 0.0249999985,
    "tryCount": 20.0,
    "succeedCount": 11.0,
    "failedCount": 9.0,
    "finalPercent": 1.00577629
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 96.0,
    "smaLength2": 42.0,
    "stopX": 0.0249999985,
    "tryCount": 15.0,
    "succeedCount": 8.0,
    "failedCount": 7.0,
    "finalPercent": 1.00686014
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 114.0,
    "smaLength2": 39.0,
    "stopX": 0.015,
    "tryCount": 15.0,
    "succeedCount": 6.0,
    "failedCount": 9.0,
    "finalPercent": 1.00741327
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 36.0,
    "stopX": 0.0499999933,
    "tryCount": 15.0,
    "succeedCount": 7.0,
    "failedCount": 8.0,
    "finalPercent": 1.00755835
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 120.0,
    "smaLength2": 48.0,
    "stopX": 0.0249999985,
    "tryCount": 15.0,
    "succeedCount": 7.0,
    "failedCount": 8.0,
    "finalPercent": 1.00784886
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 66.0,
    "smaLength2": 30.0,
    "stopX": 0.0249999985,
    "tryCount": 20.0,
    "succeedCount": 14.0,
    "failedCount": 6.0,
    "finalPercent": 1.00785625
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 114.0,
    "smaLength2": 54.0,
    "stopX": 0.015,
    "tryCount": 13.0,
    "succeedCount": 5.0,
    "failedCount": 8.0,
    "finalPercent": 1.00835824
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
